timeScraped,playersOnline
1637047792.4704292,1
1637047822.4586134,1
1637047852.5343108,1
1637047882.3927438,1
1637047912.5862892,1
1637047942.439814,1
1637047972.5950165,1
1637048002.6754923,1
1637048032.6320868,1
1637048062.7105763,1
1637048092.7829397,1
1637048122.7376513,1
1637048152.8216767,1
1637048182.7670815,1
1637048212.7534728,2
1637048242.9428103,2
1637048272.9130719,2
1637048302.9893303,2
1637048332.9600987,2
1637048362.92294,2
1637048392.9872925,2
1637048423.068071,2
1637048453.14208,2
1637048483.2260907,2
1637048513.0822241,2
1637048543.2695205,2
1637048573.220021,2
1637048603.3023565,2
1637048633.2743986,2
1637048663.2242951,2
1637048693.4141858,2
1637048723.3984106,3
1637048753.4739797,3
1637048783.4464324,3
1637048813.4092667,3
1637048843.5953183,3
1637048873.5662622,3
1637048903.643556,3
1637048933.615322,3
1637048963.6899571,3
1637048993.6646924,3
1637049023.6327295,3
1637049053.6912675,3
1637049083.6614137,3
1637049113.8062618,3
1637049143.865333,4
1637049173.9431827,4
1637049203.8002136,4
1637049233.9603753,5
1637049264.0053942,4
1637049293.9720879,4
1637049323.9405663,4
1637049354.1272326,4
1637049384.1014059,4
1637049414.179058,4
1637049444.1431134,4
1637049474.06465,4
1637049504.1436303,4
1637049534.3304763,4
1637049564.2853675,4
1637049594.2534206,4
1637049624.2262428,4
1637049654.4144416,4
1637049684.3781292,4
1637049714.3468843,4
1637049744.5335004,4
1637049774.5089622,4
1637049804.5820127,4
1637049834.4431276,4
1637049864.5173032,4
1637049894.5962033,4
1637049924.6785934,4
1637049954.646117,4
1637049984.6144564,4
1637050014.8020892,4
1637050044.7823555,4
1637050074.7436135,4
1637050104.7067099,4
1637050134.8985152,4
1637050164.971512,4
1637050194.9576516,4
1637050225.0223176,4
1637050254.8783863,4
1637050284.9586887,4
1637050315.1479826,4
1637050345.0993867,4
1637050375.1748896,4
1637050405.147712,4
1637050435.2215972,4
1637050465.2991042,4
1637050495.1762624,4
1637050525.258298,4
1637050555.3350163,4
1637050585.3935173,4
1637050615.3634617,3
1637050645.4434896,3
1637050675.4124274,3
1637050705.3767285,3
1637050735.4600482,3
1637050765.5237792,3
1637050795.601595,3
1637050825.6795297,3
1637050894.8006005,2
1637050924.9238691,3
1637050954.8156388,4
1637050984.8366797,4
1637051015.0238242,4
1637051044.8834383,4
1637051075.0666616,4
1637051105.038664,4
1637051134.9926953,4
